mask_threshold,use_objectness_filter,objectness_threshold,weight_by_objectness,cases,positive_cases,kept_prompts,min_prompts_per_case,dice,precision,recall,lesion_recall,hit_lesions,total_gt_lesions,pred_components_per_case,fp_components_per_case,component_precision,selection_score
0.6,True,0.1,False,296,85,458,1,0.4595123824150509,0.34033669673206113,0.7071270184414122,0.8620689655172413,75.0,87.0,1.7297297297297298,1.4695945945945945,0.150390625,0.8593794935534365
0.55,True,0.1,False,296,85,458,1,0.45799070633012146,0.33802870509347444,0.709938760331153,0.8620689655172413,75.0,87.0,1.7432432432432432,1.4831081081081081,0.14922480620155038,0.8579179934511231
0.5,True,0.1,False,296,85,458,1,0.45656056004346396,0.3358673467716308,0.7126497104844259,0.8620689655172413,75.0,87.0,1.760135135135135,1.5,0.14779270633397312,0.8562091055281074
0.45,True,0.1,False,296,85,458,1,0.45498662421790365,0.33359647786181834,0.7152563933241115,0.8620689655172413,75.0,87.0,1.787162162162162,1.527027027027027,0.14555765595463138,0.8536534594095551
0.4,True,0.1,False,296,85,458,1,0.45344422743531787,0.3313194090350801,0.7181585002189613,0.8620689655172413,75.0,87.0,1.804054054054054,1.5405405405405406,0.14606741573033707,0.8521867791328276
0.35,True,0.1,False,296,85,458,1,0.45180137803677667,0.3289576746590221,0.7210745094222896,0.8620689655172413,75.0,87.0,1.8175675675675675,1.554054054054054,0.1449814126394052,0.8506949857021112
0.6,True,0.3,False,296,85,377,1,0.4734287828425788,0.3575399866592867,0.7004712882574151,0.8390804597701149,73.0,87.0,1.5912162162162162,1.3412162162162162,0.15711252653927812,0.8283012777236922
0.55,True,0.3,False,296,85,377,1,0.47203311449062213,0.35522155926181437,0.7033108347641126,0.8390804597701149,73.0,87.0,1.6013513513513513,1.3513513513513513,0.15611814345991562,0.8271415498248922
0.5,True,0.3,False,296,85,377,1,0.47071718478987534,0.35305486468495434,0.7060078826089072,0.8390804597701149,73.0,87.0,1.6182432432432432,1.3682432432432432,0.1544885177453027,0.8254612160483542
0.6,True,0.2,False,296,85,400,1,0.4680895797569896,0.35056582225913624,0.7041484488499316,0.8390804597701149,73.0,87.0,1.6182432432432432,1.364864864864865,0.15657620041753653,0.825074585060403
0.45,True,0.3,False,296,85,377,1,0.46924527715670855,0.35075236668220655,0.7086423700655494,0.8390804597701149,73.0,87.0,1.625,1.375,0.15384615384615385,0.824552698599522
0.55,True,0.2,False,296,85,400,1,0.4666369193392423,0.348255759204883,0.706946288431194,0.8390804597701149,73.0,87.0,1.6317567567567568,1.3783783783783783,0.15527950310559005,0.8236303388748851
0.4,True,0.3,False,296,85,377,1,0.4678198873438982,0.3484633400736671,0.7115375258061601,0.8390804597701149,73.0,87.0,1.6418918918918919,1.3885135135135136,0.15432098765432098,0.8231152700652383
0.6,True,0.15,False,296,85,416,1,0.4661352840366677,0.34834659313607513,0.704277045203356,0.8390804597701149,73.0,87.0,1.6385135135135136,1.385135135135135,0.15463917525773196,0.8229643895087009
0.5,True,0.2,False,296,85,400,1,0.465238588419737,0.3460669434081236,0.7095946781963145,0.8390804597701149,73.0,87.0,1.652027027027027,1.3986486486486487,0.15337423312883436,0.8216591345233872
0.6,False,none,False,296,85,1243,1,0.4355375208756021,0.3135499039236158,0.7128895253056771,0.8735632183908046,76.0,87.0,2.277027027027027,2.010135135135135,0.1172106824925816,0.8216367877988944
0.55,True,0.15,False,296,85,416,1,0.4646760885082084,0.34604518092270325,0.7070748847846184,0.8390804597701149,73.0,87.0,1.652027027027027,1.3986486486486487,0.15337423312883436,0.8215185095455051
0.35,True,0.3,False,296,85,377,1,0.46624044024493844,0.34604499561424923,0.7143701211586184,0.8390804597701149,73.0,87.0,1.6587837837837838,1.4054054054054055,0.15274949083503056,0.821369056939147
0.55,False,none,False,296,85,1243,1,0.4337508267718194,0.31117001181708004,0.7156838893098199,0.8735632183908046,76.0,87.0,2.2905405405405403,2.0236486486486487,0.11651917404129794,0.8201090331918676
0.45,True,0.2,False,296,85,400,1,0.46372541365260084,0.3437860183105137,0.7121944098817609,0.8390804597701149,73.0,87.0,1.6689189189189189,1.4155405405405406,0.15182186234817813,0.8199294894802517
0.5,True,0.15,False,296,85,416,1,0.46326824847118825,0.3438624556912999,0.7097163233954998,0.8390804597701149,73.0,87.0,1.6689189189189189,1.4155405405405406,0.15182186234817813,0.8198151981848986
0.4,True,0.2,False,296,85,400,1,0.4622427223074728,0.34149924310830193,0.7150687121596541,0.8390804597701149,73.0,87.0,1.6891891891891893,1.4324324324324325,0.152,0.8182074652926183
0.45,True,0.15,False,296,85,416,1,0.4617523273943097,0.34159602377468057,0.7123056283495874,0.8390804597701149,73.0,87.0,1.6858108108108107,1.4324324324324325,0.15030060120240482,0.8180848665643276
0.5,False,none,False,296,85,1243,1,0.4320378760562497,0.30891234719758237,0.7183600836918971,0.8735632183908046,76.0,87.0,2.3175675675675675,2.050675675675676,0.1151603498542274,0.817518633350813
0.35,True,0.2,False,296,85,400,1,0.460636725082562,0.3391001017761581,0.7179603923231452,0.8390804597701149,73.0,87.0,1.7027027027027026,1.445945945945946,0.15079365079365079,0.8167248849053096
0.4,True,0.15,False,296,85,416,1,0.4602724405574071,0.3393269988687671,0.7151834062046003,0.8390804597701149,73.0,87.0,1.7094594594594594,1.4527027027027026,0.15019762845849802,0.8160932732334804
0.35,True,0.15,False,296,85,416,1,0.45867730523614314,0.33695614946399827,0.7180716107909718,0.8390804597701149,73.0,87.0,1.7263513513513513,1.4695945945945945,0.1487279843444227,0.814343138051813
0.45,False,none,False,296,85,1243,1,0.43020671848022773,0.3065709180604552,0.7209598153773434,0.8735632183908046,76.0,87.0,2.3716216216216215,2.10472972972973,0.11253561253561253,0.8127365196324833
0.4,False,none,False,296,85,1243,1,0.4283701596664754,0.30419173920663667,0.723872349003552,0.8735632183908046,76.0,87.0,2.391891891891892,2.125,0.1115819209039548,0.8106557583074234
0.35,False,none,False,296,85,1243,1,0.42647684132922603,0.30177540409455544,0.7268161628238369,0.8735632183908046,76.0,87.0,2.445945945945946,2.179054054054054,0.10911602209944751,0.8058581043987868
0.6,True,0.4,False,296,85,359,1,0.4777312851083343,0.36389502370444216,0.6952127400754895,0.8275862068965517,72.0,87.0,1.5641891891891893,1.3175675675675675,0.15766738660907129,0.7967860365613333
0.55,True,0.4,False,296,85,359,1,0.47633301352788887,0.36152540328605454,0.6979897261940345,0.8275862068965517,72.0,87.0,1.5743243243243243,1.3277027027027026,0.15665236051502146,0.7956256578554112
0.5,True,0.4,False,296,85,359,1,0.4750499848602132,0.359337652731113,0.70067982288459,0.8275862068965517,72.0,87.0,1.587837837837838,1.3412162162162162,0.15531914893617021,0.7942238196074112
0.45,True,0.4,False,296,85,359,1,0.47361725980875746,0.35701973376617646,0.703307359186993,0.8275862068965517,72.0,87.0,1.597972972972973,1.3513513513513513,0.1543340380549683,0.7930548275337365
0.4,True,0.4,False,296,85,359,1,0.4722041461373989,0.35469015672842935,0.706167759156408,0.8275862068965517,72.0,87.0,1.614864864864865,1.364864864864865,0.15481171548117154,0.7916204680348158
0.35,True,0.4,False,296,85,359,1,0.47063573546206466,0.3522243019055578,0.7089829766232683,0.8275862068965517,72.0,87.0,1.6283783783783783,1.3783783783783783,0.15352697095435686,0.7901472842849011
